review_id,place_id,candidate_group_id,reason,source_url,status
review-portfolio-qic-coomera-town-centre,,group-qic,Official portfolio asset has no exact canonical-place match,https://esg.qicre.com/esg/2025-sustainability-report/our-performance/,Pending
review-portfolio-qic-big-top,,group-qic,Official portfolio asset has no exact canonical-place match,https://esg.qicre.com/esg/2025-sustainability-report/our-performance/,Pending
review-portfolio-qic-forest-lake,,group-qic,Official portfolio asset has no exact canonical-place match,https://esg.qicre.com/esg/2025-sustainability-report/our-performance/,Pending
review-portfolio-qic-village-upper-mt-gravatt,,group-qic,Official portfolio asset has no exact canonical-place match,https://esg.qicre.com/esg/2025-sustainability-report/our-performance/,Pending
review-portfolio-qic-pittwater-place,,group-qic,Official portfolio asset has no exact canonical-place match,https://esg.qicre.com/esg/2025-sustainability-report/our-performance/,Pending
review-portfolio-stockland-fy26-piccadilly,,group-stockland,Official portfolio asset has no exact canonical-place match,https://links.sgx.com/1.0.0/corporate-announcements/OCV00Y9N84LUK0AD/901651_FY26%20Property%20Portfolio.pdf,Pending
review-portfolio-stockland-fy26-shellharbour-retail-park,,group-stockland,Official portfolio asset has no exact canonical-place match,https://links.sgx.com/1.0.0/corporate-announcements/OCV00Y9N84LUK0AD/901651_FY26%20Property%20Portfolio.pdf,Pending
review-portfolio-stockland-fy26-baringa,,group-stockland,Official portfolio asset has no exact canonical-place match,https://links.sgx.com/1.0.0/corporate-announcements/OCV00Y9N84LUK0AD/901651_FY26%20Property%20Portfolio.pdf,Pending
review-portfolio-stockland-fy26-gables,,group-stockland,Official portfolio asset has no exact canonical-place match,https://links.sgx.com/1.0.0/corporate-announcements/OCV00Y9N84LUK0AD/901651_FY26%20Property%20Portfolio.pdf,Pending
review-portfolio-stockland-fy26-providence,,group-stockland,Official portfolio asset has no exact canonical-place match,https://links.sgx.com/1.0.0/corporate-announcements/OCV00Y9N84LUK0AD/901651_FY26%20Property%20Portfolio.pdf,Pending
review-portfolio-stockland-fy26-sienna-wood,,group-stockland,Official portfolio asset has no exact canonical-place match,https://links.sgx.com/1.0.0/corporate-announcements/OCV00Y9N84LUK0AD/901651_FY26%20Property%20Portfolio.pdf,Pending
review-portfolio-stockland-fy26-aura-stage-1,,group-stockland,Official portfolio asset has no exact canonical-place match,https://links.sgx.com/1.0.0/corporate-announcements/OCV00Y9N84LUK0AD/901651_FY26%20Property%20Portfolio.pdf,Pending
