provision_store_id,provision_name,candidate_store_id,candidate_name,postcode,distance_m,name_similarity,review_status,reason
independent-other-optical-provision-16763,Optometrist Parramatta,1001-optometry-7298848,1001 Optometry Parramatta,2150,728,1.0,Pending,Possible same practice; insufficient evidence for automatic identity merge
independent-other-optical-provision-16763,Optometrist Parramatta,opsm-1326,OPSM Parramatta,2150,657,1.0,Pending,Possible same practice; insufficient evidence for automatic identity merge
independent-other-optical-provision-148746,Kingsgrove Optometrist,eyecare-plus-631,Eyecare Plus Optometrists Kingsgrove,2208,106,1.0,Pending,Possible same practice; insufficient evidence for automatic identity merge
independent-other-optical-provision-16878,Windsor Optometry,specsavers-3678,Windsor,2756,181,1.0,Pending,Possible same practice; insufficient evidence for automatic identity merge
independent-other-optical-provision-17153,Eyes Optometrists Richmond,bailey-nelson-richmond,Bailey Nelson Richmond,3121,172,0.762,Pending,Possible same practice; insufficient evidence for automatic identity merge
independent-other-optical-provision-17259,Eyes Optometrists South Yarra,bailey-nelson-chapel-st-melbourne,Bailey Nelson South Yarra,3141,984,0.815,Pending,Possible same practice; insufficient evidence for automatic identity merge
independent-other-optical-provision-17259,Eyes Optometrists South Yarra,opsm-7077,OPSM South Yarra,3141,320,0.815,Pending,Possible same practice; insufficient evidence for automatic identity merge
independent-other-optical-provision-34462,Warrnambool Eyecare,opsm-1136,OPSM Warrnambool,3280,55,0.733,Pending,Possible same practice; insufficient evidence for automatic identity merge
independent-other-optical-provision-34462,Warrnambool Eyecare,specsavers-3297,Warrnambool,3280,79,0.733,Pending,Possible same practice; insufficient evidence for automatic identity merge
independent-other-optical-provision-131737,Victor Eye Centre,specsavers-3573,Victor Central,5211,304,0.774,Pending,Possible same practice; insufficient evidence for automatic identity merge
independent-other-optical-provision-17788,Forest Lakes Optometrist,laubman-pank-forest-lakes-optometrist,Laubman & Pank Forest Lakes Thornlie,6108,69,0.727,Pending,Possible same practice; insufficient evidence for automatic identity merge
independent-other-optical-provision-17873,Total Eyecare Sandy Bay,independent-other-optical-osm-au-node-2365319231,Total Eyecare Optometrists,7005,39,0.722,Pending,Possible same practice; insufficient evidence for automatic identity merge
