store_id,latitude,longitude,evidence_url,coordinate_source,verified_at,reason
opsm-2297,-31.4300878,152.9102594,https://www.opsm.com.au/stores/nsw/port-macquarie/opsm-port-central/2297,Official address geocoded against OpenStreetMap,2026-09-03,The source feed duplicated the Settlement City coordinates instead of locating the Horton Street store
opsm-2296,-31.4271907,152.8957715,https://www.opsm.com.au/stores/nsw/port-macquarie/opsm-port-macquarie/2296,Official address geocoded against OpenStreetMap,2026-09-03,The source feed duplicated the Port Central coordinates instead of locating the Settlement City store
opsm-1304,-33.8702762,151.2068053,https://www.opsm.com.au/stores/nsw/sydney/opsm-george-street/1304,Official address geocoded against OpenStreetMap,2026-09-03,The source feed duplicated the Macquarie Street coordinates
opsm-1177,-33.8666381,151.2121950,https://www.opsm.com.au/stores/nsw/sydney/opsm-macquarie-st/1177,Official address geocoded against OpenStreetMap,2026-09-03,The source feed duplicated the George Street coordinates
opsm-1573,-35.1127880,138.5464920,https://www.opsm.com.au/stores/sa/woodcroft/opsm-woodcroft/1573,Official centre address geocode,2026-09-03,The source feed duplicated nearby Southgate Square coordinates
opsm-2943,-36.6737728,149.8395821,https://www.opsm.com.au/stores/nsw/bega/jason-harley-bega-by-opsm/2943,Official address geocoded against OpenStreetMap,2026-09-03,The source feed incorrectly used the Queanbeyan coordinates for the Bega store
opsm-1384,-35.3523200,149.2352400,https://www.opsm.com.au/webapp/wcs/stores/servlet/StoreDirectionsPrintView?catalogId=11051&desLatitude=-35.35232&desLongitude=149.23524&langId=-1&storeId=10151&storeLocationId=1384,Official OPSM directions coordinates,2026-09-03,The source feed duplicated the Bega coordinates
opsm-2261,-37.5626000,143.8613000,https://www.opsm.com.au/webapp/wcs/stores/servlet/StoreDirectionsPrintView?catalogId=11051&desLatitude=-37.56260&desLongitude=143.86130&langId=-1&storeId=10151&storeLocationId=2261,Official OPSM directions coordinates,2026-09-03,The source feed duplicated the separate Ballarat Armstrong Street coordinates
opsm-1589,-37.8159952,144.9661151,https://www.opsm.com.au/stores/vic/melbourne/opsm-233-collins-st/1589,Official address geocoded against OpenStreetMap,2026-09-03,The source feed duplicated one coordinate across three distinct Melbourne stores
opsm-1472,-37.8145100,144.9621300,https://www.opsm.com.au/webapp/wcs/stores/servlet/StoreDirectionsPrintView?catalogId=11051&desLatitude=-37.81451&desLongitude=144.96213&langId=-1&storeId=10151&storeLocationId=1472,Official OPSM directions coordinates,2026-09-03,The source feed duplicated one coordinate across three distinct Melbourne stores
opsm-1091,-37.8096900,144.9639000,https://www.opsm.com.au/webapp/wcs/stores/servlet/StoreDirectionsPrintView?catalogId=11051&desLatitude=-37.80969&desLongitude=144.96390&langId=-1&storeId=10151&storeLocationId=1091,Official OPSM directions coordinates,2026-09-03,The source feed duplicated one coordinate across three distinct Melbourne stores
