priority,review_reason,store_id,retailer,name,current_location_type,current_venue_id,full_address,candidate_venue_id,candidate_venue_name,evidence,distance_m,automatic_action,review_status
Medium,Possible missed centre,eyecare-plus-621,Eyecare Plus,Eyecare Plus Optometrists Inala,Other,,"Suite 1G, Dr Le Surgery, Inala, QLD, 4077",qld-inala-plaza,Inala Plaza Shopping Centre,Coordinates are within 50 m of a named centre; tenancy must be confirmed,2.8,None - human review required,Pending
Medium,Possible missed centre,opsm-7025,OPSM,OPSM Stafford,Main Street / Street-front,,"400 Stafford Rd, Stafford, QLD, 4053",qld-4053-city-qld-stafford,Stafford City Shopping Centre Stafford QLD 4053,Coordinates are within 50 m of a named centre; tenancy must be confirmed,9.0,None - human review required,Pending
Medium,Possible missed centre,opsm-1428,OPSM,OPSM Altona Gate,Main Street / Street-front,,"124 - 134 Millers Rd, Altona Gate, VIC, 3025",vic-altona-gate,Altona Gate Shopping Centre,Coordinates are within 50 m of a named centre; tenancy must be confirmed,9.6,None - human review required,Pending
Medium,Possible missed centre,opsm-2986,OPSM,OPSM Balgowlah,Main Street / Street-front,,"197-215 Condamine St, Balgowlah, NSW, 2093",nsw-balgowlah,Balgowlah Shopping Centre,Coordinates are within 50 m of a named centre; tenancy must be confirmed,10.3,None - human review required,Pending
Medium,Possible missed centre,opsm-1243,OPSM,OPSM Lavington,Main Street / Street-front,,"351 Griffith Rd, Lavington, NSW, 2641",nsw-lavington-square,Lavington Square,Coordinates are within 50 m of a named centre; tenancy must be confirmed,10.5,None - human review required,Pending
Medium,Possible missed centre,opsm-1354,OPSM,OPSM Geraldton,Main Street / Street-front,,"110 Chapman Rd, Geraldton, WA, 6530",wa-northgate,Northgate Shopping Centre,Coordinates are within 50 m of a named centre; tenancy must be confirmed,11.3,None - human review required,Pending
Medium,Possible missed centre,chemist-warehouse-optometry-loc_ced2c69e19a8c19e90889805,Chemist Warehouse Optometry,Ray Proust Optometrist,Main Street / Street-front,,"36A Figtree Grove, 19 Princes Hwy, Figtree NSW 2525",nsw-figtree-grove,Figtree Grove Shopping Centre,Coordinates are within 50 m of a named centre; tenancy must be confirmed,12.6,None - human review required,Pending
Medium,Possible missed centre,opsm-1144,OPSM,OPSM Coburg,Main Street / Street-front,,"55 Waterfield St, Coburg, VIC, 3058",vic-arcade-walkers,Walkers Arcade,Coordinates are within 50 m of a named centre; tenancy must be confirmed,14.0,None - human review required,Pending
Medium,Possible missed centre,opsm-1249,OPSM,OPSM Warnbro,Main Street / Street-front,,"206 Warnbro Sound Ave, Warnbro, WA, 6169",wa-warnbro,Warnbro Centre,Coordinates are within 50 m of a named centre; tenancy must be confirmed,24.5,None - human review required,Pending
Medium,Possible missed centre,opsm-1569,OPSM,OPSM Elanora,Unclassified,,"Guineas Creek Rd & Kp Mcgrath Dr, Elanora, QLD, 4221",qld-pines-the,The Pines Shopping Centre,Coordinates are within 50 m of a named centre; tenancy must be confirmed,24.8,None - human review required,Pending
Medium,Possible missed centre,opsm-1066,OPSM,OPSM Salisbury,Main Street / Street-front,,"68 John St, Salisbury, SA, 5108",sa-parabanks,Parabanks Centre,Coordinates are within 50 m of a named centre; tenancy must be confirmed,25.1,None - human review required,Pending
Medium,Possible missed centre,laubman-pank-adelaide-optometrist,Laubman & Pank,Laubman & Pank Adelaide,Shopping Centre,sa-rundle,"50 Rundle Mall, , Adelaide, SA, 5000",sa-adelaide-arcade,Adelaide Arcade,Coordinates are within 50 m of a named centre; tenancy must be confirmed,27.3,None - human review required,Pending
Medium,Possible missed centre,opsm-nz-1681,OPSM,OPSM Porirua,Main Street / Street-front,,"2 Titahi Bay Rd, Porirua, WLG, 5022",wellington-city-north,North City Shopping Centre,Coordinates are within 50 m of a named centre; tenancy must be confirmed,27.9,None - human review required,Pending
Medium,Possible missed centre,specsavers-3547,Specsavers,Kingston,Main Street / Street-front,,"29 Channel Highway, Kingston, TAS, 7050",tas-channel-court,Channel Court Shopping Centre,Coordinates are within 50 m of a named centre; tenancy must be confirmed,29.1,None - human review required,Pending
Medium,Possible missed centre,george-matilda-17223,George & Matilda,Elite Eyecare – Runaway Bay,Unclassified,,"Shop 62 10/12 Lae Dr, Runaway Bay, QLD, 4216, Australia",qld-bay-runaway-village,Runaway Bay Shopping Village,Coordinates are within 50 m of a named centre; tenancy must be confirmed,31.9,None - human review required,Pending
