layer_id,label,status,priority,public_automation_path,current_boundary,manual_or_private_gap
demographics,Population and demographics,Operational,Now,ABS Data by Region and Census plus Stats NZ regional boundaries,Australian SA2 population growth age and equivalised household income are source-year labelled,NZ comparable small-area demographics and daytime population still need an official ingestion path
property,Ownership management and leasing,In progress,Now,Official owner portfolios annual reports filings and leasing pages,Public roles and portfolio overlap only,Private contacts deal history rents and lease terms remain outside the public repository
co_tenancy,Key co-tenancy profiles,In progress,Now,Official centre directories and owner materials,Curated anchors and decision-relevant categories rather than exhaustive directories,Directory gaps and ambiguous brand categories require manual review
development,Growth and development signals,Pilot,Now,Official government project pages planning sources and owner announcements,Selective verified signals are mapped and early-stage proposals are labelled,Continuous jurisdiction-wide monitoring and local impact judgement are not yet complete
visitation,Centre visitation and scale,In progress,Next,Official owner compendia annual reports and public centre profiles,Metrics retain property and evidence dates and unknown is explicit,Many centres do not publish footfall GLA turnover or vacancy
tourism,Tourism and visitor demand,Planned,Next,TRA Tourism Research Australia MBIE and Stats NZ official releases,No tourism proxy is currently used in opportunity scoring,Geographic alignment seasonal interpretation and local visitor counts require design and review
transport,Transport accessibility and traffic,Planned,Next,State transport open data GTFS station usage and road-count datasets,OpenStreetMap amenities are available only as contextual evidence,Jurisdictions publish inconsistent measures and travel-time catchments require routing infrastructure
positioning,Premium and value retail positioning,Planned,Next,Versioned public brand taxonomy applied to evidenced co-tenancy,Current tenant categories do not yet form a premium-value score,Brand positioning changes and mixed-format retailers require curator judgement
spending,Consumer spending,Planned,Later,Official household expenditure and regional economic releases where geographically defensible,Income is explicitly not presented as spending,Granular card spend centre turnover and category spend are generally proprietary
performance,Private Bailey performance,Client/private only,Later,Authenticated private service or browser-memory-only import,No raw private performance values are stored in public assets,Revenue contribution occupancy cost and deal information require Bailey authorization and private controls
